person_id,name,decision,orcid,candidates,score,match_org,match_facility
306c614e961b8c15,Aileen S. Lee,no-employment-match,,3,,,
464fef7395780998,Aitza Pabón Valentin,no-candidates,,0,,,
2dc860bdd941cbf8,Alain Vézina,no-candidates,,0,,,
6f64a8c2116cd3a2,Alex Harper,no-employment-match,,10,,,
52a599a3f1287668,Alex Parker,no-employment-match,,10,,,
306c614e961b8c15,Aileen S. Lee,no-employment-match,,3,,,
464fef7395780998,Aitza Pabón Valentin,no-candidates,,0,,,
2dc860bdd941cbf8,Alain Vézina,no-candidates,,0,,,
6f64a8c2116cd3a2,Alex Harper,no-employment-match,,10,,,
52a599a3f1287668,Alex Parker,no-employment-match,,10,,,
850275cf8f283033,Alex Reed,no-employment-match,,10,,,
235faeb56074fe7a,Alison Brizius,no-candidates,,0,,,
596d8556863d0a13,Amy Van Blarcom-Lackey,no-candidates,,0,,,
dde1dbe623025aa0,Andrea C. Alfaro,no-employment-match,,10,,,
4c0ca62fb1ded187,Andrea Habeck,no-candidates,,0,,,
b0310e7bdaa70df8,Andrew McGowan,no-employment-match,,8,,,
495ac472743b98ba,Andrew Thomson,no-employment-match,,10,,,
306c614e961b8c15,Aileen S. Lee,no-employment-match,,3,,,
464fef7395780998,Aitza Pabón Valentin,no-candidates,,0,,,
6f64a8c2116cd3a2,Alex Harper,no-employment-match,,10,,,
850275cf8f283033,Alex Reed,no-employment-match,,10,,,
235faeb56074fe7a,Alison Brizius,no-candidates,,0,,,
596d8556863d0a13,Amy Van Blarcom-Lackey,no-candidates,,0,,,
dde1dbe623025aa0,Andrea C. Alfaro,no-employment-match,,10,,,
4c0ca62fb1ded187,Andrea Habeck,no-candidates,,0,,,
b0310e7bdaa70df8,Andrew McGowan,no-employment-match,,8,,,
495ac472743b98ba,Andrew Thomson,no-employment-match,,10,,,
bbdccc43f66c9d35,Angela Underwood,no-candidates,,0,,,
9cd3a412f030b098,Ann Kitajima,no-candidates,,0,,,
cc64ddde7aba6063,Anne Altman,no-candidates,,0,,,
7518454db0af29ec,Anne Giblin,no-employment-match,,1,,,
51bd0564be322dfb,Anne M. Vogel,no-employment-match,,7,,,
d6170b24822e7a87,Antje Boetius,accept,0000-0003-2117-4176,1,1.0,MBARI,MBARI
4ac7d551052f7632,Antonio Saldívar Moreno,no-employment-match,,10,,,
1d50ea29f58a9367,Augusto César Crespi Abril,no-employment-match,,3,,,
e6f7a86fd90b5242,Ayesha Gray,no-employment-match,,1,,,
c15f16afa2789b8a,Bob Cowen,no-candidates,,0,,,
275d7e7beb3f0116,Bob Miller,no-employment-match,,7,,,
71bbf28ec2419cf2,Brita J. Jessen,no-employment-match,,1,,,
c3b93845ce50b80a,Caitlin Chaffee,no-employment-match,,1,,,
9b738567dbc65f91,Caitlin Sweeney,no-employment-match,,1,,,
ef7eb34bf790b160,Carlos Zúñiga,no-employment-match,,10,,,
52b0511cd8692bed,Chad Nelsen,no-candidates,,0,,,
e2105df56d062d8f,Chris Bridger,no-candidates,,0,,,
a6c84e638433f036,Chris Peregrin,no-candidates,,0,,,
f7c6a5010baff0de,Christofer Boggs,no-candidates,,0,,,
cb9cda94845ee30c,Christophe Tulou,no-candidates,,0,,,
9766065cdd1458df,Clarissa Anderson,no-employment-match,,2,,,
5a40a871746aa17c,Clark Alexander,no-employment-match,,2,,,
c4578832400f873c,Cory Riley,no-employment-match,,2,,,
67bc0d980bf618fc,Curtis Bohlen,no-candidates,,0,,,
1e7381f2cdfe433c,Cyrus M. Western,no-candidates,,0,,,
d7863809155bf28a,Dale Webber,no-employment-match,,1,,,
5b719947c145e31b,Dave Feliz,no-candidates,,0,,,
3b07eb00881df742,Dave Hallac,no-candidates,,0,,,
065ae200269c6713,David Burke,no-employment-match,,10,,,
bb8bbfd4b455762c,David Pierce,no-employment-match,,10,,,
0db40abeb316411d,Dawn Buckingham,no-candidates,,0,,,
9edcb400387ce56b,Deb Kelley,no-employment-match,,2,,,
5e43a12a1f02e13e,Deborah Bronk,no-employment-match,,1,,,
4a96dc22215f09f3,Debra Hernandez,no-employment-match,,2,,,
02faaf0b04ad8764,Deke Arndt,no-candidates,,0,,,
8ecea07573485a48,Derek Aday,no-candidates,,0,,,
bb88fde15914534c,Duane De Freese,no-candidates,,0,,,
f778e750190e040d,Ed Sherwood,accept,0000-0001-5330-302X,5,0.926,Tampa Bay Estuary Program,Tampa Bay Estuary Program NEP
eec2bdfd29799ef2,Elaine Placido,no-candidates,,0,,,
9eb8854506590fc6,Emily Stanley,no-employment-match,,3,,,
306c614e961b8c15,Aileen S. Lee,no-employment-match,,28,,,
464fef7395780998,Aitza Pabón Valentin,no-employment-match,,25,,,
2dc860bdd941cbf8,Alain Vézina,no-employment-match,,25,,,
6f64a8c2116cd3a2,Alex Harper,no-employment-match,,16,,,
52a599a3f1287668,Alex Parker,accept,0000-0002-6722-0994,25,0.578,Southwest Research Institute,NERR
850275cf8f283033,Alex Reed,no-employment-match,,23,,,
235faeb56074fe7a,Alison Brizius,no-employment-match,,1,,,
596d8556863d0a13,Amy Van Blarcom-Lackey,no-candidates,,0,,,
dde1dbe623025aa0,Andrea C. Alfaro,no-employment-match,,25,,,
4c0ca62fb1ded187,Andrea Habeck,no-employment-match,,24,,,
b0310e7bdaa70df8,Andrew McGowan,no-employment-match,,34,,,
495ac472743b98ba,Andrew Thomson,accept,0009-0000-8271-0513,21,0.513,European Medicines Agency,Institute of Ocean Sciences
bbdccc43f66c9d35,Angela Underwood,no-employment-match,,25,,,
9cd3a412f030b098,Ann Kitajima,no-employment-match,,25,,,
cc64ddde7aba6063,Anne Altman,no-employment-match,,25,,,
7518454db0af29ec,Anne Giblin,accept,0000-0003-3851-2178,26,0.456,Marine Biological Laboratory,LTER
51bd0564be322dfb,Anne M. Vogel,accept,0009-0004-7452-2976,32,0.0,,
d6170b24822e7a87,Antje Boetius,accept,0000-0003-2117-4176,5,1.0,MBARI,MBARI — Monterey Bay Aquarium Research Institute
4ac7d551052f7632,Antonio Saldívar Moreno,no-employment-match,,25,,,
087ef7b834156578,Atef A.H. Mansour,no-employment-match,,28,,,
1d50ea29f58a9367,Augusto César Crespi Abril,no-employment-match,,28,,,
e6f7a86fd90b5242,Ayesha Gray,no-employment-match,,26,,,
9d95166363f2ef0a,Bill Crowell,no-employment-match,,25,,,
c15f16afa2789b8a,Bob Cowen,no-employment-match,,25,,,
275d7e7beb3f0116,Bob Miller,accept,0000-0001-7629-6782,33,0.593,Oklahoma Medical Research Foundation,LTER
72c7f7751d5c0fcc,Brenda Torres Barreto,no-employment-match,,16,,,
71bbf28ec2419cf2,Brita J. Jessen,no-employment-match,,26,,,
c3b93845ce50b80a,Caitlin Chaffee,no-employment-match,,25,,,
9b738567dbc65f91,Caitlin Sweeney,no-employment-match,,26,,,
38f3f017e1f83560,Camilo Trench,no-employment-match,,25,,,
136f58805a3aa1d0,Carlos Del Castillo,no-employment-match,,25,,,
ef7eb34bf790b160,Carlos Zúñiga,no-employment-match,,25,,,
b5994d5883864070,Carmel Lowe,no-employment-match,,25,,,
52b0511cd8692bed,Chad Nelsen,no-employment-match,,25,,,
e2105df56d062d8f,Chris Bridger,no-employment-match,,25,,,
a6c84e638433f036,Chris Peregrin,no-employment-match,,16,,,
f7c6a5010baff0de,Christofer Boggs,no-employment-match,,25,,,
cb9cda94845ee30c,Christophe Tulou,no-employment-match,,1,,,
9766065cdd1458df,Clarissa Anderson,no-employment-match,,27,,,
5a40a871746aa17c,Clark Alexander,no-employment-match,,27,,,
e4ddd3bc28ac5e4f,Clay Porch,no-employment-match,,20,,,
c4578832400f873c,Cory Riley,no-employment-match,,27,,,
bec611e3fadab23e,Courtney Schmidt,no-employment-match,,27,,,
e83fd667ba8b53e7,Craig Dahlgren,no-employment-match,,26,,,
67bc0d980bf618fc,Curtis Bohlen,no-employment-match,,25,,,
1e7381f2cdfe433c,Cyrus M. Western,no-employment-match,,25,,,
d7863809155bf28a,Dale Webber,no-employment-match,,26,,,
8dc3492071b97856,Darcy Young,no-employment-match,,25,,,
5b719947c145e31b,Dave Feliz,no-employment-match,,25,,,
3b07eb00881df742,Dave Hallac,no-employment-match,,11,,,
065ae200269c6713,David Burke,no-employment-match,,19,,,
4c1fc41d2bd43729,David Hilario Covarrubias Rosales,no-employment-match,,25,,,
9a33365777a82ab8,David Oscar Yawson,no-employment-match,,25,,,
bb8bbfd4b455762c,David Pierce,no-employment-match,,14,,,
0db40abeb316411d,Dawn Buckingham,no-employment-match,,25,,,
9edcb400387ce56b,Deb Kelley,no-employment-match,,27,,,
5e43a12a1f02e13e,Deborah Bronk,no-employment-match,,25,,,
4a96dc22215f09f3,Debra Hernandez,no-employment-match,,27,,,
02faaf0b04ad8764,Deke Arndt,no-employment-match,,26,,,
9e74c6e3b9566f69,Denise Sanger,no-employment-match,,26,,,
8ecea07573485a48,Derek Aday,no-employment-match,,25,,,
ac16f1112b403331,Dolan Eversole,no-employment-match,,23,,,
bb88fde15914534c,Duane De Freese,no-employment-match,,25,,,
f778e750190e040d,Ed Sherwood,accept,0000-0001-5330-302X,30,1.0,Tampa Bay Estuary Program,NEP — Tampa Bay Estuary Program NEP
ced7196c685a1ada,Eddy H. Gómez Ramírez,no-employment-match,,31,,,
502ebb0372498d8c,Eduardo Siegle,accept,0000-0003-3926-1710,26,1.0,Universidade de São Paulo,IO-USP — Instituto Oceanográfico da Universidade de São Paulo
eec2bdfd29799ef2,Elaine Placido,no-employment-match,,25,,,
9eb8854506590fc6,Emily Stanley,no-employment-match,,28,,,
a28b71f0523c7272,Emma Pokon,no-candidates,,0,,,
6fc271ba2c2d9fff,Eric Peterson,no-employment-match,,25,,,
fe37f9877474c92b,Eric Schwaab,no-employment-match,,25,,,
afbfac2c3d4abc2d,Erica Hardy,no-employment-match,,27,,,
bf45e655d9307d6d,Erica Seiden,no-employment-match,,25,,,
fd1a07d3b4b419fe,Erik Smith,accept,0000-0002-8133-0348,25,0.56,Electric Power Research Institute,NERR
97738d34b02da339,Erin Bertrand,accept,0000-0002-5950-6810,28,0.538,Dalhousie University Department of Biology,Dalhousie Ocean Frontier Institute
c068a767ed157f38,Ernesto Otero,no-employment-match,,30,,,
a723c05cc9a755e4,Fiorenza Micheli,no-employment-match,,27,,,
2b778c1f4a97fd82,Francisco Armando Arias Isaza,no-employment-match,,27,,,
4eec2f2c7eee9f13,Frank Parrish,no-employment-match,,26,,,
0de66276893c819f,Frank Raúl Gío Argáez,no-employment-match,,20,,,
1db0d47fb7a14798,Fred Hay,no-employment-match,,25,,,
4d4ac12186deae2c,Fred Reppun,no-employment-match,,1,,,
7c81f3dcfbd28993,Gerardo Irimia Arosemena,no-employment-match,,25,,,
7c2712756cecb842,Gerhard F. Kuska,accept,0009-0004-3874-9620,16,1.0,MARACOOS,MARACOOS — Mid-Atlantic Regional Association Coastal Ocean Observing System
c2aa8ab34f859c3d,Gladys Rosado Jiménez,no-employment-match,,16,,,
95f18bb785ebd969,Gonzalo Eduardo Bacigalupo,no-employment-match,,26,,,
9eb9e24219c8fe28,Gonzalo Pereira Puchy,no-employment-match,,1,,,
d66ecab20f2ff0f3,Guy Gelfenbaum,no-employment-match,,1,,,
8f8b1bb8bacac538,Heidi M. Sosik,no-employment-match,,6,,,
6845ac7f43deed46,Jake Kritzer,no-employment-match,,20,,,
c92a42d4092b94da,Jake Snaddon,accept,0000-0003-3549-5472,8,1.0,University of Belize,UB-ERI — University of Belize Environmental Research Institute
ad801d68677a4269,James McClelland,accept,0000-0001-9619-8194,30,0.456,Marine Biological Laboratory,LTER
e9de79ed7f010d2d,James Patrick Megonigal,no-employment-match,,3,,,
e28ef32a2bcb35fb,James T. Morris,no-employment-match,,25,,,
91fdd60bedf6ac49,Jan Newton,no-employment-match,,33,,,
d90c6a55bc89a44c,Janice Kerns,no-employment-match,,25,,,
4f74aec8dce447ae,Jason Kudulis,no-candidates,,0,,,
6758e8afd668a3ba,Jean Wiener,no-employment-match,,28,,,
d75285106a4dc54e,Jean-Yves Savaria,no-employment-match,,9,,,
67b967142a53ce4a,Jeffrey L. Payne,no-employment-match,,30,,,
0cb9a516d7e2e402,Jeffrey P. Waters,no-employment-match,,26,,,
ddeaa632f945fdc7,Jeffrey Payne,no-employment-match,,31,,,
7ba62d22e9dd7f0e,Jenn Eckerle,no-employment-match,,21,,,
f50539f23831b79c,Jenna Wanat,no-employment-match,,25,,,
d8c601099de23ef4,Jennifer Dorton,accept,0009-0001-2786-7582,10,1.0,SECOORA,SECOORA — Southeast Coastal Ocean Observing Regional Association
bdfeefc521d67f45,Jennifer Flynn,no-employment-match,,36,,,
c68512cd9aaf1f09,Jenny Gray,no-employment-match,,26,,,
1252478f7bf2a9b3,Jeremy Goldbogen,accept,0000-0002-4170-7294,2,1.0,Stanford University Hopkins Marine Station,Hopkins Marine Station
77b887731b3aeef5,Jeremy Rusin,no-employment-match,,25,,,
c0ebbb3b72ffb785,Jesse Feyen,no-employment-match,,20,,,
2e597769679ad4b7,Jill Carr,accept,0000-0003-1476-6640,28,0.514,University of Massachusetts Boston,Massachusetts Bays National Estuary Program
ffd46ff594243b9d,Jim Macy,no-employment-match,,25,,,
2d1a6f25312701cb,Joe Costa,no-employment-match,,25,,,
bd6ab6546c9d6fe0,John Crofts,no-employment-match,,25,,,
b22c5135ce35b205,John Kominoski,accept,0000-0002-0978-3326,1,0.48,Florida International University,Florida Coast LTER
73584002653ed352,John T. Sample,no-employment-match,,27,,,
8174234678f59196,John Valentine,no-employment-match,,36,,,
2d5b33672ad73028,Jonathan Adam Langley,no-employment-match,,25,,,
3ef416c55fbc8805,Jonathan Pennock,no-employment-match,,25,,,
420cd9eeea34deb8,Jorge Bauzá-Ortega,no-candidates,,0,,,
5ed6f748858dc381,Jorge Brenner,accept,0000-0002-4962-4784,26,0.941,Gulf of America Coastal Ocean Observing System,Gulf of Mexico Coastal Ocean Observing System
af99b3688c5a95f0,Jorge Manuel Paz Acosta,no-employment-match,,25,,,
6ccc176e3db55c5e,Josh F.W. Cook,accept,0000-0002-9183-1613,34,0.0,,
e3ef038d0f4cce32,Joshua Tewksbury,accept,0000-0002-9786-1477,12,0.538,Smithsonian Institution,Smithsonian Tropical Research Institute
b8c32d3f789903dc,Joyce Novak,no-employment-match,,25,,,
36d64d109f9931d6,Juan Carlos Tapia Aldás,no-employment-match,,26,,,
d33dc6b2e90fadf5,Jude Apple,no-employment-match,,26,,,
bc0975ce8ffdcfd1,Julia Azanza Ricardo,accept,0009-0004-7818-8696,33,0.621,Universidad Nacional de Hurlingham,Universidad de La Habana
837911c885c1a2d6,Julie Binz,no-employment-match,,25,,,
057a229162351e1e,Julie Packard,no-employment-match,,25,,,
ebf6b29af8901951,Julio M. Morell,no-employment-match,,25,,,
790b5cb0ef4999f6,Justin Ridge,no-employment-match,,28,,,
7af8d3870a1edb43,Jyotika Virmani,no-employment-match,,26,,,
412d241d0a92c33a,Kalle Matso,no-employment-match,,2,,,
dc6a10816fc6d1f5,Karen McGlathery,no-employment-match,,4,,,
37581034fe7be3a2,Kate Moran,accept,0000-0002-0353-3385,35,1.0,Ocean Networks Canada Society,Ocean Networks Canada
545adb9a98f59b9f,Katherine Arroyo-Arce,no-employment-match,,3,,,
a8acdff1a877962f,Katherine Barbeau,no-employment-match,,26,,,
28f6b6e379a7f46f,Katherine Schake,no-employment-match,,6,,,
5b2dda04d0cf52b2,Kathy Klein,no-employment-match,,25,,,
77bbdb30534582e4,Katie Swanson,no-employment-match,,26,,,
5b26c521e63107fb,Kawika Winter,no-employment-match,,26,,,
9bb2966b8154ec72,Keith Laakkonen,no-employment-match,,25,,,
ea8341d95d9b11d4,Ken Dunton,no-employment-match,,26,,,
3632fce83b016d2a,Kerstin Wasson,no-employment-match,,26,,,
5e28d64a9988c19a,Kevin J. McOmber,no-employment-match,,9,,,
621508ca8d0282a1,Kevin Smith,no-employment-match,,25,,,
e843dbcaf204514b,Kiersten Stanzel,no-employment-match,,20,,,
acc5daaf743dfc71,Kim Miller,accept,0000-0002-5297-4195,25,0.529,Appalachian State University,Apalachicola NERR
3b2ab78f43494bc5,Krisa Arzayus,no-employment-match,,8,,,
73c93dcbf0823fac,Kristi Foster,no-employment-match,,31,,,
92435a9fea794186,Kurt Newman,no-employment-match,,26,,,
0aaca7133e58ae3b,Kyle Derby,no-employment-match,,26,,,
21eefc825ce2a6c2,Lisa Marshall,no-employment-match,,34,,,
dde5802e4e435f8b,Lizzie McLeod,no-employment-match,,25,,,
361753d9e8b4a881,Manuel Luis Robert Díaz,accept,0009-0008-0545-8789,25,0.582,Universidad Nacional de Rosario,Unidad Ciencias del Agua
dcda55181668fee0,Marian Westley,accept,0009-0008-7195-2945,25,1.0,National Oceanic and Atmospheric Administration,CO-OPS — NOAA Center for Operational Oceanographic Products and Services
b816e10d3c965252,Mark Sanborn,accept,0000-0001-5308-4680,26,0.0,,
dce86cb0be724f8a,Mark Tedesco,no-employment-match,,25,,,
b517c254a31c6ad0,Mary Ford,no-employment-match,,35,,,
7fc8610ce7422658,Matt Ferner,accept,0000-0002-4862-9663,25,0.56,San Francisco State University,San Francisco Bay NERR
1debaf119dd6bdf0,Meenakshi Wadhwa,no-employment-match,,26,,,
26fc6973efa5b2c2,Megan Dethier,no-employment-match,,18,,,
0ef98bc081d25b9a,Megan Donahue,accept,0000-0002-7529-001X,30,0.51,University of Hawai'i at Manoa,HIMB — Hawaiʻi Institute of Marine Biology
